roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1551037,7922423 1 12 SW-17-58-23-4,45 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"272,020",45,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0088145,-113.3936839
1551038,7922423 1 13 SW-17-58-23-4,43 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"167,520",43,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0093867,-113.3936838
1551039,7922423 1 14 SW-17-58-23-4,41 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"183,520",41,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.00995890000001,-113.3936837
1551040,7922423 1 15 SW-17-58-23-4,39 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"311,590",39,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.01053109999999,-113.3936836
1551041,1022126 1 16A,37 RICHFIELD ROAD,3.14,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.14,Acres,2014,"88,520",37,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.01110329999999,-113.3936835
1552000,SW-17-58-23-4,58211 LILY LAKE RD,3.92,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,0016379555,3.92,Acres,2014,"163,150",58211,Lily Lake Road,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.840016,-113.3968452
1553000,NW-17-58-23-4,58225 LILY LAKE ROAD,158.50,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"186,000",58225,Lily Lake Road,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.840016,-113.3968452
1554000,NE-17-58-23-4,58222 RGE RD 234,83.13,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"134,730",58222,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1554001,NE-17-58-23-4,58232 RGE RD 234,20.00,Acres,Sturgeon County,AGRICULTURE,0016135403,20.00,Acres,2014,"191,780",58232,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1554002,7722464 1 1 NE-17-58-23-4,58222 RGE RD 234,22.30,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"340,990",58222,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1554003,7722464 1 2 NE-17-58-23-4,58224 RGE RD 234,14.57,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"383,190",58224,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1554004,7722464 1 3 NE-17-58-23-4,58226 RGE RD 234,20.00,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"354,470",58226,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1555000,SE-18-58-23-4,23514 TWP RD 582,158.50,Acres,Sturgeon County,AGRICULTURE,0014528096,3.00,Acres,2014,"167,510",,Township Road 582,,Alberta,Division No. 11,Canada,,54.0072601,-113.483822
1556000,SW-18-58-23-4,58209 RGE RD 240,60.00,Acres,Sturgeon County,AGRICULTURE,0015799448,3.00,Acres,2014,"406,620",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
1556001,7722340 1 1 SW-18-58-23-4,58203 RGE RD 240,19.96,Acres,Sturgeon County,AGRICULTURE,0014114631,3.00,Acres,2014,"254,220",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
1556002,7722340 1 2 SW-18-58-23-4,23526 TWP RD 582,19.96,Acres,Sturgeon County,AGRICULTURE,0030490593,3.00,Acres,2014,"152,680",,Township Road 582,,Alberta,Division No. 11,Canada,,54.0072601,-113.483822
1556003,7722340 1 3,,19.96,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"1,060",,,,,,,,,
